Curso,Disciplina,Carga horaria,Turma,Turno
Ciência da Computação,Construção de Algoritmos,2,1,Matutino
Ciência da Computação,Fundamentos Matemáticos,2,1,Matutino
Ciência da Computação,Laboratório de Programação,3,1,Matutino
Ciência da Computação,Álgebra Linear,2,1,Matutino
Ciência da Computação,Introdução à Ciência da Computação,2,1,Matutino
Ciência da Computação,Física Aplicada à Ciência da Computação,2,1,Matutino
Ciência da Computação,Análise e Projeto de Software,2,2,Matutino
Ciência da Computação,Programação Orientada a Objetos,3,2,Matutino
Ciência da Computação,Estrutura de Dados I,2,2,Matutino
Ciência da Computação,Banco de Dados I,2,2,Matutino
Ciência da Computação,Introdução aos Sistemas Digitais,2,2,Matutino
Ciência da Computação,Cálculo I,3,2,Matutino
Ciência da Computação,Programação Web,2,3,Matutino
Ciência da Computação,Interação Homem-Máquina,1,3,Matutino
Ciência da Computação,Engenharia de Software,2,3,Matutino
Ciência da Computação,Arquitetura e Organização de Computadores I,2,3,Matutino
Ciência da Computação,Estrutura de Dados II,2,3,Matutino
Ciência da Computação,Metodologia de Pesquisa Científica,1,3,Matutino
Ciência da Computação,Cálculo II,2,3,Matutino
Ciência da Computação,Arquitetura e Organização de Computadores II,2,4,Matutino
Ciência da Computação,Paradigmas de Programação,2,4,Matutino
Ciência da Computação,Matemática Computacional,2,4,Matutino
Ciência da Computação,Rede de Computadores,2,4,Matutino
Ciência da Computação,Lógica e Matemática Discreta,2,4,Matutino
Ciência da Computação,"Ética, Computadores e Sociedade",2,4,Matutino
Ciência da Computação,Programação para Dispositivos Móveis,2,5,Matutino
Ciência da Computação,Processamento Digital de Imagens,2,5,Matutino
Ciência da Computação,Sistemas Operacionais,2,5,Matutino
Ciência da Computação,Probabilidade e Estatística,3,5,Matutino
Ciência da Computação,Teoria dos Grafos,2,5,Matutino
Ciência da Computação,Disciplina Optativa I,2,5,Matutino
Ciência da Computação,Inteligência Artificial,2,6,Matutino
Ciência da Computação,Otimização de Sistemas,2,6,Matutino
Ciência da Computação,Computação Gráfica,2,6,Matutino
Ciência da Computação,Projeto Avançado de Algoritmos,2,6,Matutino
Ciência da Computação,Teoria da Computação,2,6,Matutino
Ciência da Computação,Disciplina Optativa II,2,6,Matutino
Ciência da Computação,Educação das Relações Étnico-Raciais e Afrodescendência,1,7,Matutino
Ciência da Computação,Trabalho de Conclusão de Curso I,4,7,Matutino
Ciência da Computação,Mineração de Dados,3,7,Matutino
Ciência da Computação,Banco de Dados II,2,7,Matutino
Ciência da Computação,Gramáticas e Compiladores,2,7,Matutino
Ciência da Computação,Sistemas Distribuídos,2,8,Matutino
Ciência da Computação,Tópicos Especiais em Computação I,2,8,Matutino
Ciência da Computação,Trabalho de Conclusão de Curso II,4,8,Matutino
Ciência da Computação,Tópicos Especiais em Computação II,2,8,Matutino
