SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA
,,,,Construção de Algoritmos
,Fundamentos Matemáticos,Álgebra Linear,,Fundamentos Matemáticos
,,Álgebra Linear,,Laboratório de Programação
,,Construção de Algoritmos,,Laboratório de Programação
,,,Introdução à Ciência da Computação,Física Aplicada à Ciência da Computação
,,Laboratório de Programação,,Física Aplicada à Ciência da Computação
,,,,Introdução à Ciência da Computação
,,,,
,Introdução aos Sistemas Digitais,,Banco de Dados I,
,,,Análise e Projeto de Software,
Cálculo I,Cálculo I,Programação Orientada a Objetos,,Estrutura de Dados I
,,Programação Orientada a Objetos,,
,Introdução aos Sistemas Digitais,Estrutura de Dados I,Programação Orientada a Objetos,
,,Cálculo I,,
,,Banco de Dados I,Análise e Projeto de Software,
,,,,
,,,,Cálculo II
Programação Web,,Programação Web,,
,Arquitetura e Organização de Computadores I,,Estrutura de Dados II,
Estrutura de Dados II,Arquitetura e Organização de Computadores I,,Interação Homem-Máquina,
,Engenharia de Software,,,
,Metodologia de Pesquisa Científica,,,Engenharia de Software
,Cálculo II,,,
,,,,
,,,Paradigmas de Programação,Lógica e Matemática Discreta
,Arquitetura e Organização de Computadores II,,"Ética, Computadores e Sociedade",
Rede de Computadores,,,,
Paradigmas de Programação,Matemática Computacional,,Matemática Computacional,
Rede de Computadores,"Ética, Computadores e Sociedade",,Arquitetura e Organização de Computadores II,
,Lógica e Matemática Discreta,,,
,,,,
,,,,
Sistemas Operacionais,Sistemas Operacionais,,,Programação para Dispositivos Móveis
,Processamento Digital de Imagens,,,Teoria dos Grafos
Disciplina Optativa I,Teoria dos Grafos,,,
Probabilidade e Estatística,,,,
Probabilidade e Estatística,,,Probabilidade e Estatística,
Disciplina Optativa I,Processamento Digital de Imagens,,,Programação para Dispositivos Móveis
,,,,
,,,,
,,,,Disciplina Optativa II
,,,Computação Gráfica,Teoria da Computação
,,,Otimização de Sistemas,Teoria da Computação
,Projeto Avançado de Algoritmos,Computação Gráfica,,Inteligência Artificial
,,,Disciplina Optativa II,Otimização de Sistemas
,,,,Projeto Avançado de Algoritmos
,,Inteligência Artificial,,
,,,,
,,,,
,Gramáticas e Compiladores,,Mineração de Dados,Trabalho de Conclusão de Curso I
,,,Mineração de Dados,Trabalho de Conclusão de Curso I
Banco de Dados II,,,Gramáticas e Compiladores,
Banco de Dados II,,,,
Educação das Relações Étnico-Raciais e Afrodescendência,,,Trabalho de Conclusão de Curso I,
,Trabalho de Conclusão de Curso I,,Mineração de Dados,
,,,,
,,,,
,,Tópicos Especiais em Computação II,Tópicos Especiais em Computação I,
Trabalho de Conclusão de Curso II,,Sistemas Distribuídos,,
Trabalho de Conclusão de Curso II,,,,Trabalho de Conclusão de Curso II
Tópicos Especiais em Computação I,,Sistemas Distribuídos,,
,Tópicos Especiais em Computação II,,,
,Trabalho de Conclusão de Curso II,,,
